Date,Open,High,Low,Close,Historical High Price,Days_Since_High,%_Diff_High,Historical Low Price,Days_Since_Low,%_Diff_Low,Future_High,Future_Low,% Difference from Future High,% Difference from Future Low
2024-10-10,62273.0,62273.0,60388.0,60694.0,64500.0,3,-5.90077519379845,61671.0,5,-1.584213001248561,63417.0,58935.0,-4.293801346642068,2.984644099431577
2024-10-11,60749.0,62290.0,58935.0,62290.0,64500.0,4,-3.426356589147287,60388.0,1,3.149632377293502,63417.0,62060.0,-1.7771260072220383,0.3706090879793748
2024-10-12,62306.0,63417.0,62132.0,63081.0,64500.0,5,-2.1999999999999997,58935.0,1,7.034868923390175,66173.0,62060.0,-4.672600607498527,1.6451820818562681
2024-10-13,63142.0,63337.0,62060.0,62270.0,63885.0,5,-2.5279799639978084,58935.0,2,5.658776618308306,67803.0,62201.0,-8.160405881745646,0.11093069243259754
2024-10-14,62203.0,66173.0,62201.0,65828.0,63417.0,2,3.8018197013419117,58935.0,3,11.695936200899295,68257.0,64886.0,-3.5586093733976005,1.4517769626729957
2024-10-15,65944.0,67803.0,64886.0,66021.0,66173.0,1,-0.22970093542683573,58935.0,4,12.023415627386104,68257.0,66077.0,-3.2758544911144645,-0.0847496103031312
2024-10-16,66077.0,68257.0,66077.0,67781.0,67803.0,1,-0.03244694187572821,58935.0,5,15.009756511410878,68871.0,66739.0,-1.5826690479301884,1.561305983008436
2024-10-17,67789.0,68038.0,66739.0,67548.0,68257.0,1,-1.0387213033095506,62060.0,4,8.843055107960039,68970.0,66751.0,-2.061765985210961,1.1939896031520127
2024-10-18,67543.0,68871.0,66751.0,68871.0,68257.0,2,0.8995414389732922,62060.0,5,10.974863035771834,68970.0,68047.0,-0.14354066985645933,1.2109277411201083
2024-10-19,68779.0,68970.0,68092.0,68184.0,68871.0,1,-0.9975170971816876,62201.0,5,9.61881641774248,69432.0,66839.0,-1.7974421016246114,2.0122982091294004
2024-10-20,68230.0,68754.0,68047.0,68610.0,68970.0,1,-0.5219660722053067,64886.0,5,5.739296612520421,69432.0,66669.0,-1.1838921534739024,2.9113981010664625
2024-10-21,68603.0,69432.0,66839.0,66963.0,68970.0,2,-2.9099608525445846,66077.0,5,1.3408599058673971,67941.0,65943.0,-1.4394842584006713,1.5467904098994587
2024-10-22,67293.0,67941.0,66669.0,67270.0,69432.0,1,-3.113837999769559,66739.0,5,0.7956367341434543,67928.0,65162.0,-0.9686727122835944,3.2350142721217887
2024-10-23,67236.0,67740.0,65943.0,66042.0,69432.0,2,-4.88247493950916,66669.0,1,-0.9404670836520721,68821.0,65162.0,-4.0380116534197406,1.3504803413032136
2024-10-24,66218.0,67928.0,65162.0,67623.0,69432.0,3,-2.605426892499136,65943.0,1,2.5476547927755786,68821.0,65564.0,-1.7407477368826376,3.1404429259959734
2024-10-25,67660.0,68821.0,67240.0,67378.0,69432.0,4,-2.958290125590506,65162.0,1,3.4007550412817285,67834.0,65564.0,-0.6722292655600436,2.7667622475748885
2024-10-26,67683.0,67834.0,65564.0,66794.0,69432.0,5,-3.7994008526327914,65162.0,2,2.504527178416869,69218.0,66741.0,-3.5019792539512844,0.07941145622630766
2024-10-27,66782.0,67765.0,66741.0,67671.0,68821.0,2,-1.6710015838188925,65162.0,3,3.8504036094656393,72360.0,67467.0,-6.480099502487562,0.3023700475788163
2024-10-28,67707.0,69218.0,67467.0,68590.0,68821.0,3,-0.33565336161927317,65162.0,4,5.260734784076608,73562.0,68418.0,-6.758924444686115,0.2513958315063287
2024-10-29,68418.0,72360.0,68418.0,72350.0,69218.0,1,4.524834580600421,65162.0,5,11.030968969644885,73562.0,70423.0,-1.6475897882058672,2.736321940275194
2024-10-30,72403.0,73562.0,71430.0,72120.0,72360.0,1,-0.33167495854063017,65564.0,4,9.999389909096456,72860.0,68840.0,-1.0156464452374416,4.764671702498547
2024-10-31,71943.0,72860.0,70423.0,70527.0,73562.0,1,-4.125771458089774,65564.0,5,7.569702885729973,,,,
2024-11-01,70557.0,70833.0,68840.0,70024.0,73562.0,2,-4.80954840814551,66741.0,5,4.919015297942794,,,,
